"","fips","SCC","Pollutant","Emissions","type","year","summ"
"295","24510","2280002100","PM25-PRI",350.97,"NON-ROAD","1999",7332966.73700002
"296","24510","2280002200","PM25-PRI",0.8,"NON-ROAD","1999",7332966.73700002
"297","24510","2280003100","PM25-PRI",97.05,"NON-ROAD","1999",7332966.73700002
"298","24510","2280003200","PM25-PRI",0.29,"NON-ROAD","1999",7332966.73700002
"299","24510","2282005010","PM25-PRI",1.85,"NON-ROAD","1999",7332966.73700002
"300","24510","2282005015","PM25-PRI",0.91,"NON-ROAD","1999",7332966.73700002
"301","24510","2282010005","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"302","24510","2282020005","PM25-PRI",0.05,"NON-ROAD","1999",7332966.73700002
"303","24510","2282020010","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"304","24510","2285002006","PM25-PRI",4.64,"NON-ROAD","1999",7332966.73700002
"305","24510","2285002008","PM25-PRI",0.02,"NON-ROAD","1999",7332966.73700002
"306","24510","2285002009","PM25-PRI",4.16,"NON-ROAD","1999",7332966.73700002
"307","24510","2285002010","PM25-PRI",1.86,"NON-ROAD","1999",7332966.73700002
"308","24510","2285002015","PM25-PRI",1.22,"NON-ROAD","1999",7332966.73700002
"309","24510","2285004015","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"310","24510","2285006015","PM25-PRI",0,"NON-ROAD","1999",7332966.73700002
"311","24510","2294000000","PM25-PRI",1043.61,"NONPOINT","1999",7332966.73700002
"312","24510","2311010000","PM25-PRI",2.09,"NONPOINT","1999",7332966.73700002
"313","24510","2311020000","PM25-PRI",395.92,"NONPOINT","1999",7332966.73700002
"314","24510","2311030000","PM25-PRI",6.24,"NONPOINT","1999",7332966.73700002
"315","24510","2325000000","PM25-PRI",47.77,"NONPOINT","1999",7332966.73700002
"316","24510","2610000500","PM25-PRI",36.338,"NONPOINT","1999",7332966.73700002
"317","24510","2810001000","PM25-PRI",0,"NONPOINT","1999",7332966.73700002
"318","24510","2810005000","PM25-PRI",0,"NONPOINT","1999",7332966.73700002
"319","24510","2810015000","PM25-PRI",0,"NONPOINT","1999",7332966.73700002
"320","24510","2810030000","PM25-PRI",14.906,"NONPOINT","1999",7332966.73700002
"321","24510","10100504","PM25-PRI",0.42,"POINT","2002",5635780.49823926
"322","24510","10100601","PM25-PRI",13.72,"POINT","2002",5635780.49823926
"323","24510","10200402","PM25-PRI",2.31,"POINT","2002",5635780.49823926
"324","24510","10200502","PM25-PRI",0.1,"POINT","2002",5635780.49823926
"325","24510","10200601","PM25-PRI",3.07,"POINT","2002",5635780.49823926
